taxonID,relatedTaxonID,relatedTaxonScientificName,type,referenceID,remarks,relatedTaxonLink,relatedTaxonOrder,relatedTaxonFamily,relatedTaxonFullName,relatedTaxonHTMLName
2753,,Stachys iva,eats,,,https://www.catalogue.life/data/taxon/6a7c2b20-8213-45fa-8a32-038558fe2c31,Lamiales,Lamiaceae,Stachys iva Griseb.,<i>Stachys iva</i> Griseb.
2753,,Stachys scardica,eats,,,https://www.catalogue.life/data/taxon/5df6a26b-638d-4029-a748-3eac5df261c8,Lamiales,Lamiaceae,Betonica scardica Griseb.,<i>Betonica scardica</i> Griseb.
2775,,Salvia lavandulifolia,eats,,,https://www.catalogue.life/data/taxon/d1c52121-1a9f-4549-a411-ea2836bebe23,Lamiales,Lamiaceae,Salvia officinalis subsp. lavandulifolia (Vahl) Gams,<i>Salvia officinalis</i> subsp. <i>lavandulifolia</i> (Vahl) Gams
2759,,Stachys aegyptiaca,eats,,,https://www.catalogue.life/data/taxon/c1e562b1-2a9d-44b9-98fb-f5ed8742b8c6,Lamiales,Lamiaceae,Stachys aegyptiaca Pers.,<i>Stachys aegyptiaca</i> Pers.
2771,,Phlomidoschema parviflorum,eats,,,https://www.catalogue.life/data/taxon/0dbd3575-ccf7-452c-b5b5-f0d2e06afe6c,Lamiales,Lamiaceae,Phlomidoschema parviflorum (Benth.) Vved.,<i>Phlomidoschema parviflorum</i> (Benth.) Vved.
2704,,Echium plantagineum,eats,,,https://www.catalogue.life/data/taxon/0bfe069a-427a-4e29-a832-dff7f44177c9,Boraginales,Boraginaceae,Echium plantagineum L.,<i>Echium plantagineum</i> L.
2704,,Echium vulgare,eats,,,https://www.catalogue.life/data/taxon/72044aa8-ed98-448e-bbc8-2dacd12f53b8,Boraginales,Boraginaceae,Echium vulgare L.,<i>Echium vulgare</i> L.
2704,,Malus sylvestris,eats,,,https://www.catalogue.life/data/taxon/a23c7993-6b0f-4f4f-b68e-9aa28bddf4d8,Rosales,Rosaceae,Malus pumila Mill.,<i>Malus pumila</i> Mill.
2507,,Astrotricha latifolia,eats,,,https://www.catalogue.life/data/taxon/e5b9e41c-2efd-4484-920d-b2bf0304cf5a,Apiales,Araliaceae,Astrotricha latifolia Benth.,<i>Astrotricha latifolia</i> Benth.
2507,,Astrotricha floccosa,eats,,,https://www.catalogue.life/data/taxon/64935686-9fd7-46a2-8992-526165d31457,Apiales,Araliaceae,Astrotricha floccosa DC.,<i>Astrotricha floccosa</i> DC.
2683,,Convolvulus arvensis,eats,,,https://www.catalogue.life/data/taxon/a494212f-3162-4bb4-90a5-5f09b0cec04b,Solanales,Convolvulaceae,Convolvulus arvensis L.,<i>Convolvulus arvensis</i> L.
2683,,Calystegia sepium,eats,,,https://www.catalogue.life/data/taxon/b292727f-b8fe-424d-aec6-b3133283dca3,Solanales,Convolvulaceae,Calystegia sepium (L.) R. Br.,<i>Calystegia sepium</i> (L.) R. Br.
2648,,Convolvulus cantabrica,eats,,,https://www.catalogue.life/data/taxon/725eee6a-de63-46fb-94fc-c7a6d39ea094,Solanales,Convolvulaceae,Convolvulus cantabrica L.,<i>Convolvulus cantabrica</i> L.
2633,,Ipomoea batatas,eats,,,https://www.catalogue.life/data/taxon/ac2938c9-a8f7-4547-82b2-511cf8ab51b8,Solanales,Convolvulaceae,Ipomoea batatas (L.) Lam.,<i>Ipomoea batatas</i> (L.) Lam.
2672,,Hedera helix,eats,,,https://www.catalogue.life/data/taxon/8c422c42-0970-4906-9dd2-fb793723542d,Apiales,Araliaceae,Hedera helix L.,<i>Hedera helix</i> L.
2619,,Convolvulus,eats,,,https://www.catalogue.life/data/taxon/3ab1f912-9353-4e7f-9143-806da03d7552,Solanales,Convolvulaceae,Convolvulus,<i>Convolvulus</i>
2619,,Ipomoea nil,eats,,as Pharbitis nil,https://www.catalogue.life/data/taxon/f6ea74a8-b5da-481e-b7f2-ea28a3b67e21,Solanales,Convolvulaceae,Ipomoea nil (L.) Roth,<i>Ipomoea nil</i> (L.) Roth
2630,,Merremia hederacea,eats,,,https://www.catalogue.life/data/taxon/89dd77f5-bd27-463e-a779-3cbe5d7bdd2f,Solanales,Convolvulaceae,Merremia hederacea (Burm. fil.) Hall. fil.,<i>Merremia hederacea</i> (Burm. fil.) Hall. fil.
2630,,Oldenlandia corymbosa,eats,,,https://www.catalogue.life/data/taxon/ce5e4bf2-4c00-439a-af74-4883ee4153e1,Gentianales,Rubiaceae,Oldenlandia lactea (Willd.) DC.,<i>Oldenlandia lactea</i> (Willd.) DC.
2504,,Averrhoa carambola,eats,,,https://www.catalogue.life/data/taxon/32403011-0f0c-4323-8723-c46aa556cb47,Oxalidales,Oxalidaceae,Averrhoa carambola L.,<i>Averrhoa carambola</i> L.
2504,,Averrhoa bilimbi,eats,,,https://www.catalogue.life/data/taxon/0e0523d8-dfd8-45fa-b95b-cbe8d4eeb379,Oxalidales,Oxalidaceae,Averrhoa bilimbi L.,<i>Averrhoa bilimbi</i> L.
2484,,Gmelina arborea,eats,,,https://www.catalogue.life/data/taxon/0dd2bbd2-2479-453d-8461-b6e2fb6b69dd,Lamiales,Lamiaceae,Gmelina arborea Roxb. ex Sm.,<i>Gmelina arborea</i> Roxb. ex Sm.
2498,,Premna latifolia,eats,,,,,,,
2490,,Gmelina arborea,eats,,,https://www.catalogue.life/data/taxon/0dd2bbd2-2479-453d-8461-b6e2fb6b69dd,Lamiales,Lamiaceae,Gmelina arborea Roxb. ex Sm.,<i>Gmelina arborea</i> Roxb. ex Sm.
2081,,Gesneria pauciflora,eats,,,https://www.catalogue.life/data/taxon/82641c47-4513-4131-b644-9291b82dde30,Lamiales,Gesneriaceae,Gesneria pauciflora Urb.,<i>Gesneria pauciflora</i> Urb.
